エリア,打率,気温(°C)
1,0.0,22.575
1,0.0,22.575
1,0.0,26.675
1,0.0,26.675
2,0.3333333333333333,26.675
1,0.5,26.675
1,0.0,26.675
2,0.6666666666666666,26.675
1,0.0,26.675
1,0.3333333333333333,26.675
1,0.0,26.675
1,0.0,26.675
1,0.0,21.7
1,0.2,21.7
2,0.0,21.7
1,0.25,21.7
1,0.5,21.7
1,1.0,21.7
2,0.25,21.7
1,0.4,21.7
1,0.25,21.7
1,0.0,21.7
1,0.0,21.7
1,0.0,21.7
1,0.0,21.7
1,0.5,23.8
1,0.0,23.8
2,0.25,23.8
1,0.0,23.8
1,0.3333333333333333,23.8
2,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,23.8
1,0.0,20.9
1,0.5,20.9
2,0.25,20.9
1,0.0,20.9
1,0.25,20.9
2,0.5,20.9
1,0.0,20.9
1,0.3333333333333333,20.9
1,0.0,20.9
1,0.3333333333333333,17.025
1,0.0,17.025
2,0.25,17.025
1,0.25,17.025
1,0.25,17.025
2,0.6666666666666666,17.025
1,0.25,17.025
1,0.3333333333333333,17.025
0,0.0,17.025
1,0.0,17.025
1,0.2,20.766666666666666
1,0.5,20.766666666666666
2,0.3333333333333333,20.766666666666666
1,0.0,20.766666666666666
1,0.3333333333333333,20.766666666666666
2,0.0,20.766666666666666
1,0.0,20.766666666666666
1,0.0,20.766666666666666
1,0.5,20.766666666666666
1,0.0,20.766666666666666
1,0.0,20.766666666666666
1,1.0,20.766666666666666
1,0.0,22.3
1,0.0,22.3
2,0.0,22.3
1,1.0,22.3
1,0.0,22.3
1,0.6666666666666666,22.3
2,0.5,22.3
1,0.0,22.3
1,0.0,22.3
1,0.0,22.3
1,0.0,22.3
1,0.3333333333333333,26.0
1,0.0,26.0
1,0.3333333333333333,26.0
2,0.0,26.0
1,0.0,26.0
2,0.25,26.0
1,0.25,26.0
1,0.0,26.0
1,0.0,26.0
1,0.0,26.0
1,0.0,26.0
1,1.0,26.0
1,0.0,24.125
1,0.0,24.125
2,0.25,24.125
1,0.25,24.125
1,0.25,24.125
2,0.3333333333333333,24.125
1,0.0,24.125
1,0.0,24.125
1,0.0,24.125
1,0.0,24.125
1,0.0,24.125
1,0.0,24.125
1,0.4,18.875
1,0.4,18.875
2,0.2,18.875
1,0.5,18.875
1,0.2,18.875
2,0.5,18.875
1,0.5,18.875
1,0.25,18.875
1,0.5,18.875
1,0.0,24.266666666666666
1,0.0,24.266666666666666
1,0.5,24.266666666666666
2,0.0,24.266666666666666
1,0.0,24.266666666666666
1,0.3333333333333333,24.266666666666666
2,0.0,24.266666666666666
1,0.25,24.266666666666666
1,0.0,24.266666666666666
1,0.0,24.266666666666666
1,1.0,24.266666666666666
1,0.25,25.575
1,0.2,25.575
2,0.2,25.575
1,0.4,25.575
1,0.25,25.575
2,0.75,25.575
1,0.0,25.575
1,0.5,25.575
1,0.25,25.575
1,0.0,24.96666666666667
1,0.5,24.96666666666667
2,0.5,24.96666666666667
1,0.5,24.96666666666667
1,0.0,24.96666666666667
2,0.3333333333333333,24.96666666666667
1,0.0,24.96666666666667
1,0.0,24.96666666666667
1,0.0,24.96666666666667
1,0.25,25.46666666666667
1,0.3333333333333333,25.46666666666667
2,0.5,25.46666666666667
2,0.3333333333333333,25.46666666666667
1,0.25,25.46666666666667
1,0.25,25.46666666666667
1,0.0,25.46666666666667
1,0.3333333333333333,25.46666666666667
1,0.0,25.46666666666667
1,0.25,22.775
1,0.0,22.775
1,0.4,22.775
2,0.75,22.775
1,1.0,22.775
2,0.0,22.775
1,0.0,22.775
1,0.6,22.775
1,0.4,22.775
1,0.3333333333333333,22.775
1,0.75,22.775
1,0.0,22.775
1,0.0,23.366666666666664
1,0.0,23.366666666666664
2,0.0,23.366666666666664
2,0.0,23.366666666666664
1,0.0,23.366666666666664
1,0.0,23.366666666666664
1,0.3333333333333333,23.366666666666664
1,0.0,23.366666666666664
1,0.0,23.366666666666664
1,0.4,20.96
1,1.0,20.96
1,0.3333333333333333,20.96
2,0.2,20.96
2,0.6,20.96
1,0.0,20.96
1,0.25,20.96
1,0.0,20.96
1,1.0,20.96
1,0.25,20.96
1,0.2,20.96
1,0.3333333333333333,20.96
1,0.4,20.96
