日時,現地気圧(hPa),海面気圧(hPa),降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),降雪量(cm),積雪量(cm),天気,視程(km),スタジアム名,都道府県,屋内外
2025-03-20 3,1016.8,1023.6,--,2.7,-3.0,4.9,66,3.0,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 4,1017.1,1023.9,--,2.6,-2.9,4.9,67,2.9,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 5,1016.9,1023.7,0.0,2.7,-2.8,5.0,67,2.4,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 6,1017.0,1023.8,0.0,2.6,-2.7,5.0,68,1.8,北,,0.00,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 7,1017.1,1023.9,--,2.6,-2.7,5.0,68,2.0,北北東,0.0,0.05,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 8,1017.1,1023.9,--,3.8,-2.4,5.1,64,1.2,北北西,0.6,0.52,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 9,1017.1,1023.9,--,4.6,-2.0,5.3,62,0.8,東,0.2,0.79,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 10,1016.4,1023.1,--,7.4,-1.5,5.5,53,3.2,南,0.8,2.06,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 11,1015.9,1022.5,--,8.8,-1.9,5.3,47,4.1,南南西,0.4,1.94,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 12,1015.3,1021.9,--,9.7,-1.6,5.4,45,5.0,南,0.2,1.63,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 13,1014.4,1021.0,--,10.6,-2.4,5.1,40,3.3,南,0.9,2.91,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 14,1013.6,1020.1,--,11.8,-1.3,5.5,40,5.1,南南東,1.0,2.97,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 15,1013.1,1019.6,--,11.7,-1.4,5.5,40,6.1,南,1.0,2.52,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 16,1012.5,1019.0,--,11.7,-1.1,5.6,41,4.6,南,1.0,1.91,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 17,1012.2,1018.7,--,12.1,-0.1,6.1,43,3.8,南,1.0,1.17,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 18,1012.0,1018.6,--,11.2,0.9,6.5,49,4.4,南南東,1.0,0.41,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 19,1012.1,1018.7,--,10.7,0.2,6.2,48,2.5,南,0.0,0.02,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 20,1012.3,1018.9,--,10.2,0.8,6.5,52,1.1,南,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 21,1012.7,1019.3,--,9.4,1.1,6.6,56,1.1,東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 22,1012.6,1019.2,--,8.4,1.6,6.8,62,0.9,東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 23,1012.5,1019.2,--,7.2,1.5,6.8,67,0.7,東北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-20 24,1012.3,1019.0,--,6.7,1.6,6.9,70,0.5,東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 1,1012.4,1019.1,--,6.1,1.6,6.9,73,1.8,北北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 2,1012.1,1018.8,--,5.5,1.2,6.7,74,2.2,北北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 3,1012.0,1018.7,--,4.9,1.0,6.6,76,2.0,北北西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 4,1012.1,1018.8,--,4.6,0.9,6.5,77,1.8,北,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 5,1012.1,1018.8,--,4.2,0.7,6.4,78,1.2,北北東,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 6,1012.4,1019.1,--,4.1,0.8,6.5,79,1.7,北,,0.00,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 7,1012.2,1018.9,--,4.2,0.7,6.4,78,1.0,北東,0.2,0.09,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 8,1012.3,1019.0,--,5.6,1.3,6.7,74,2.4,南東,1.0,0.67,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 9,1012.1,1018.6,--,11.4,4.2,8.2,61,4.3,南南西,1.0,1.42,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 10,1011.6,1018.1,--,12.9,3.0,7.6,51,7.1,南,1.0,2.11,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 11,1010.8,1017.2,--,15.2,2.7,7.4,43,4.8,南,1.0,2.60,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 12,1010.0,1016.4,--,15.8,1.5,6.8,38,6.9,南,1.0,2.96,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 13,1008.9,1015.3,--,17.3,1.7,6.9,35,4.7,南,1.0,3.00,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 14,1007.9,1014.3,--,17.8,2.6,7.3,36,4.6,南南東,1.0,2.77,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 15,1007.2,1013.6,--,17.6,1.6,6.8,34,4.7,南,0.9,2.03,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 16,1006.7,1013.1,--,17.6,2.4,7.2,36,5.4,南,1.0,1.76,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 17,1006.5,1012.9,--,17.3,2.9,7.5,38,8.1,南南西,1.0,1.07,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 18,1007.0,1013.4,--,16.4,3.5,7.8,42,7.2,南,0.9,0.39,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 19,1007.4,1013.8,--,15.2,3.4,7.8,45,7.5,南南西,0.0,0.02,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 20,1007.8,1014.2,--,14.6,2.5,7.3,44,4.6,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 21,1007.9,1014.4,--,14.0,3.2,7.7,48,3.4,南南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-21 22,1008.0,1014.5,--,13.1,4.3,8.3,55,2.0,南西,,,--,--,晴れ,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
