"matchID,氏名,打数,安打,打率,打点"
"2025413,野村,4,1,0.25,1"
"2025413,田宮,3,1,0.3333333333333333,0"
"2025413,吉田,0,0,0,0"
"2025413,万波,4,2,0.5,0"
"2025413,松本剛,3,0,0.0,0"
"2025413,若林,3,0,0.0,0"
"2025413,郡司,1,0,0.0,0"
"2025413,石井,0,0,0,0"
"2025413,水野,3,2,0.6666666666666666,0"
"2025415,矢澤,4,1,0.25,0"
"2025415,松本剛,5,1,0.2,0"
"2025415,清宮幸,5,2,0.4,1"
"2025415,野村,3,1,0.3333333333333333,1"
"2025415,若林,1,0,0.0,0"
"2025415,レイエス,4,2,0.5,1"
"2025415,万波,4,1,0.25,1"
"2025415,石井,4,1,0.25,1"
"2025415,山縣,0,0,0,0"
"2025415,奈良間,2,1,0.5,0"
"2025415,吉田,1,1,1.0,3"
"2025415,水野,1,0,0.0,0"
"2025415,伏見,4,0,0.0,0"
"2025416,矢澤,3,0,0.0,0"
"2025416,五十幡,1,0,0.0,0"
"2025416,清宮幸,4,1,0.25,0"
"2025416,レイエス,3,1,0.3333333333333333,0"
"2025416,野村,4,1,0.25,0"
"2025416,吉田,3,1,0.3333333333333333,0"
"2025416,松本剛,1,0,0.0,0"
"2025416,万波,4,0,0.0,0"
"2025416,郡司,4,0,0.0,0"
"2025416,石井,2,0,0.0,0"
"2025416,水野,2,0,0.0,0"
"2025418,吉田,3,1,0.3333333333333333,0"
"2025418,松本剛,0,0,0,0"
"2025418,水谷,4,0,0.0,0"
"2025418,清宮幸,4,1,0.25,0"
"2025418,野村,4,2,0.5,1"
"2025418,レイエス,4,0,0.0,0"
"2025418,万波,3,0,0.0,0"
"2025418,田宮,3,0,0.0,0"
"2025418,山縣,3,2,0.6666666666666666,0"
"2025418,水野,3,0,0.0,0"
"2025419,水谷,5,1,0.2,2"
"2025419,五十幡,0,0,0,0"
"2025419,清宮幸,5,3,0.6,0"
"2025419,淺間,5,2,0.4,1"
"2025419,野村,5,1,0.2,0"
"2025419,田宮,5,1,0.2,0"
"2025419,伏見,0,0,0,0"
"2025419,レイエス,2,0,0.0,0"
"2025419,松本剛,2,0,0.0,1"
"2025419,郡司,1,0,0.0,0"
"2025419,水野,0,0,0,0"
"2025419,山縣,3,0,0.0,0"
"2025419,万波,1,1,1.0,3"
"2025419,上川畑,3,1,0.3333333333333333,0"
"2025420,水谷,4,0,0.0,0"
"2025420,淺間,1,0,0.0,0"
"2025420,山縣,0,0,0,0"
"2025420,清宮幸,5,0,0.0,0"
"2025420,松本剛,4,3,0.75,0"
"2025420,野村,1,1,1.0,0"
"2025420,五十幡,0,0,0,0"
"2025420,吉田,4,1,0.25,1"
"2025420,レイエス,1,1,1.0,1"
"2025420,万波,5,0,0.0,0"
"2025420,奈良間,4,0,0.0,0"
"2025420,伏見,3,0,0.0,0"
"2025420,水野,3,2,0.6666666666666666,0"
"2025422,万波,5,2,0.4,1"
"2025422,レイエス,3,0,0.0,0"
"2025422,松本剛,4,1,0.25,0"
"2025422,野村,3,0,0.0,0"
"2025422,田宮,3,0,0.0,0"
"2025422,淺間,1,0,0.0,0"
"2025422,郡司,4,2,0.5,1"
"2025422,上川畑,4,0,0.0,0"
"2025422,伏見,4,2,0.5,0"
"2025422,水野,1,0,0.0,0"
"2025422,奈良間,1,0,0.0,0"
"2025422,清宮幸,0,0,0,0"
"2025422,山縣,1,1,1.0,0"
"2025423,万波,4,0,0.0,0"
"2025423,清宮幸,3,1,0.3333333333333333,0"
"2025423,淺間,3,1,0.3333333333333333,0"
"2025423,野村,4,0,0.0,0"
"2025423,吉田,4,1,0.25,1"
"2025423,レイエス,4,1,0.25,1"
"2025423,田宮,0,0,0,0"
"2025423,松本剛,4,1,0.25,0"
"2025423,奈良間,3,1,0.3333333333333333,1"
"2025423,山縣,2,0,0.0,0"
"2025423,若林,1,0,0.0,0"
"2025425,淺間,4,1,0.25,1"
"2025425,清宮幸,4,1,0.25,0"
"2025425,レイエス,4,0,0.0,0"
"2025425,野村,3,0,0.0,0"
"2025425,郡司,4,0,0.0,0"
"2025425,田宮,2,0,0.0,0"
"2025425,水谷,1,0,0.0,0"
"2025425,万波,3,0,0.0,0"
"2025425,奈良間,3,1,0.3333333333333333,0"
"2025425,水野,2,0,0.0,0"
"2025426,清宮幸,4,1,0.25,0"
"2025426,奈良間,0,0,0,0"
"2025426,松本剛,4,0,0.0,0"
"2025426,吉田,3,0,0.0,0"
"2025426,淺間,1,0,0.0,0"
"2025426,野村,4,3,0.75,1"
"2025426,郡司,3,0,0.0,0"
"2025426,伏見,0,0,0,0"
"2025426,万波,3,0,0.0,0"
"2025426,レイエス,3,1,0.3333333333333333,1"
"2025426,上川畑,3,0,0.0,0"
"2025426,水野,3,1,0.3333333333333333,0"
"2025427,清宮幸,5,2,0.4,0"
"2025427,水谷,5,2,0.4,1"
"2025427,レイエス,4,0,0.0,0"
"2025427,野村,4,2,0.5,1"
"2025427,松本剛,3,0,0.0,0"
"2025427,郡司,1,0,0.0,0"
"2025427,奈良間,3,0,0.0,0"
"2025427,吉田,1,0,0.0,0"
"2025427,山縣,0,0,0,0"
"2025427,万波,4,2,0.5,0"
"2025427,伏見,2,0,0.0,0"
"2025427,田宮,2,0,0.0,0"
"2025427,水野,4,3,0.75,1"
"2025429,レイエス,5,0,0.0,0"
"2025429,郡司,4,0,0.0,0"
"2025429,淺間,0,0,0,0"
"2025429,五十幡,0,0,0,0"
"2025429,清宮幸,5,1,0.2,0"
"2025429,野村,4,1,0.25,0"
"2025429,万波,3,1,0.3333333333333333,0"
"2025429,松本剛,2,1,0.5,0"
"2025429,山縣,1,0,0.0,0"
"2025429,吉田,1,1,1.0,1"
"2025429,奈良間,0,0,0,0"
"2025429,伏見,4,0,0.0,0"
"2025429,水野,4,1,0.25,1"
"2025430,吉田,5,1,0.2,0"
"2025430,水谷,4,0,0.0,0"
"2025430,松本剛,1,1,1.0,1"
"2025430,淺間,3,0,0.0,0"
"2025430,若林,1,1,1.0,0"
"2025430,奈良間,0,0,0,0"
"2025430,野村,4,2,0.5,0"
"2025430,清宮幸,4,1,0.25,0"
"2025430,万波,4,1,0.25,1"
"2025430,石井,4,2,0.5,1"
"2025430,五十幡,1,0,0.0,0"
"2025430,田宮,4,2,0.5,1"
"2025430,水野,4,1,0.25,1"
"202551,松本剛,4,0,0.0,0"
"202551,淺間,4,1,0.25,0"
"202551,五十幡,0,0,0,0"
"202551,田宮,3,0,0.0,0"
"202551,野村,4,1,0.25,0"
"202551,山縣,0,0,0,0"
"202551,清宮幸,3,1,0.3333333333333333,0"
"202551,万波,4,2,0.5,1"
"202551,郡司,3,0,0.0,1"
"202551,石井,3,0,0.0,0"
"202551,奈良間,1,0,0.0,0"
"202551,水野,2,0,0.0,0"
"202553,万波,3,0,0.0,0"
"202553,清宮幸,3,1,0.3333333333333333,0"
"202553,郡司,3,0,0.0,0"
"202553,野村,4,1,0.25,0"
"202553,レイエス,4,2,0.5,3"
"202553,水野,4,1,0.25,0"
"202553,有薗,4,0,0.0,0"
"202553,奈良間,3,0,0.0,0"
"202553,淺間,1,0,0.0,0"
"202553,五十幡,1,1,1.0,0"
"202553,松本剛,2,0,0.0,0"
"202554,松本剛,4,1,0.25,0"
"202554,田宮,3,1,0.3333333333333333,0"
"202554,五十幡,1,0,0.0,0"
"202554,レイエス,2,2,1.0,3"
"202554,淺間,0,0,0,0"
"202554,野村,4,1,0.25,0"
"202554,万波,4,0,0.0,0"
"202554,水野,4,1,0.25,0"
"202554,有薗,3,0,0.0,0"
"202554,奈良間,0,0,0,0"
"202554,石井,3,1,0.3333333333333333,0"
"202554,山縣,0,0,0,0"
"202554,伏見,3,1,0.3333333333333333,0"
"202555,淺間,3,0,0.0,0"
"202555,山縣,3,1,0.3333333333333333,0"
"202555,清宮幸,1,0,0.0,0"
"202555,レイエス,4,0,0.0,0"
"202555,野村,2,0,0.0,0"
"202555,田宮,4,0,0.0,0"
"202555,吉田,3,2,0.6666666666666666,0"
"202555,万波,3,1,0.3333333333333333,0"
"202555,有薗,2,0,0.0,0"
"202555,五十幡,0,0,0,0"
"202555,奈良間,0,0,0,0"
"202555,水野,3,0,0.0,0"
"202556,吉田,2,0,0.0,0"
"202556,五十幡,2,1,0.5,0"
"202556,松本剛,5,0,0.0,0"
"202556,レイエス,3,0,0.0,0"
"202556,石井,1,0,0.0,0"
"202556,野村,4,3,0.75,1"
"202556,清宮幸,5,2,0.4,3"
